solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
alkane,CCCCCCCCCCCCCCCC,pi_star,,alpha,,SdP,-1.5203850162022057,beta,,SB,-1.126219589729516,n,,ET30,,N_mol_cm3,-1.3213017483717742,delta,,fn,,SP,-0.2283049804316733,SA,-0.5896346870860926
ether,CCOCC,beta,0.1076279803292505,SdP,-0.3860711428085255,alpha,-0.5624739952482177,n,-1.3014480616233797,SP,-1.2409293822386531,ET30,-1.0037957490872293,pi_star,-1.1680567066545815,SA,-0.5896346870860926,delta,-1.1027092879018467,N_mol_cm3,-0.054250958927232626,SB,0.47621936384563507,fn,-1.111278146511377
aromatic,c1ccc2c(c1)CCCC2,SP,1.3313693855698825,fn,1.5191818027831456,N_mol_cm3,-0.5135056140009823,ET30,,delta,-0.23346256981188024,SB,-0.8097715610823224,n,1.7435226334319265,beta,,alpha,,pi_star,,SA,-0.5896346870860926,SdP,-0.9841639124161023
nitrile,C(#N)C(Cl)(Cl)Cl,delta,,SA,,SdP,,SB,,ET30,-0.24144294095417748,alpha,,SP,,N_mol_cm3,0.025708556911500518,n,0.12385737010463763,pi_star,,beta,,fn,0.16439096348424256
halohydrocarbon,C(C(F)(Cl)Cl)(F)(F)Cl,alpha,,SdP,-1.0725520064467786,SA,-0.5896346870860926,SB,-1.2878100724429766,fn,,beta,,N_mol_cm3,-0.2900290184517023,ET30,,delta,,n,,SP,-1.4853559619851657,pi_star,
ester,CC1COC(=O)O1,SP,0.2605481790613521,SA,-0.1069183112916353,SdP,1.2550011363610323,ET30,0.5902146679182428,n,-0.20007568256082084,pi_star,0.9067552063345249,fn,-0.1186109897916707,SB,-0.26777015031425655,beta,-0.13281750764035158,alpha,-0.5624739952482177,delta,1.339460062922344,N_mol_cm3,0.4111544281341118
nitrile,C1=CC=C(C=C1)C#N,SB,-0.46975825370608226,beta,-0.23586557391303836,fn,1.3485165027159929,ET30,-0.033528538736072415,delta,0.4081242935402374,SdP,0.9898368542690034,SP,1.4826810777939143,alpha,-0.5624739952482177,n,1.5329661491993802,N_mol_cm3,-0.011195835014068572,pi_star,1.1661066954581634,SA,-0.3756000676300596
alkane,C1CCC2CCCCC2C1,alpha,,ET30,,fn,,SA,-0.5896346870860926,SP,0.23726945718073184,SB,-1.2272136414254289,N_mol_cm3,-0.7287812335668026,SdP,-1.5203850162022057,n,,delta,,beta,,pi_star,
ketone,CCCC(=O)C,SdP,0.7865442379984477,n,-0.7021719141922833,delta,-0.5025151254111557,pi_star,0.23985137715945515,SB,0.3920576540990409,fn,-0.5652572023091876,N_mol_cm3,-0.09115535085280171,alpha,-0.4463403417214005,ET30,-0.08897237932756691,SA,-0.5440954063507665,SP,-0.4028953945363252,beta,0.21067604660193728
amide,CN(C)P(=O)(N(C)C)N(C)C,fn,0.40040595123533634,SP,0.23726945718073184,SB,1.321202929701439,SA,-0.5896346870860926,ET30,-0.11669429962331464,alpha,-0.5624739952482177,pi_star,1.0549560572623182,SdP,1.720511764922595,n,0.3975807996069484,delta,-0.5025151254111557,beta,2.0998905949345263,N_mol_cm3,-0.8517958733186998
ether,COC1=CC=CC=C1,SA,-0.2071047289093528,ET30,-0.6434107852425138,SB,-0.4091618226885347,pi_star,0.5362530790150416,n,1.338606317600105,alpha,-0.5624739952482177,SdP,0.0794394857530368,delta,-0.10928446722759977,fn,1.1897329640459187,beta,-0.4076123510341828,N_mol_cm3,-0.1424114507494256,SP,1.1218608886443002
monohydric_alcohol,CCC(C)O,ET30,0.7426852295448534,delta,0.38742794310952433,SP,-0.7869943055665581,SdP,0.5596814633197116,SA,0.41678341716461553,SB,1.5736880589412214,beta,1.2411567093288043,alpha,1.0401704234218587,pi_star,-0.6864039411392531,N_mol_cm3,0.22253198051453627,fn,-0.4521104290051732,n,-0.5758380236527542
misc_N_compound,C[N+](=O)[O-],beta,-1.300695592064134,pi_star,0.9808556317984216,alpha,-0.05148591973022227,SA,-0.23442829735054854,N_mol_cm3,1.8114710773098752,fn,-0.7262010612332755,delta,1.0497111568923556,SB,-0.6212493312499517,SdP,1.2903563739733028,n,-0.8803350931582836,SP,-0.15846881478981253,ET30,0.6317975483618634
amine,CCN(CC)CC,SdP,-1.2021878776917707,delta,-1.144101988763274,SP,-0.7404368618053176,SB,1.5635886537716301,fn,-0.4202457052584582,n,-0.5402053878595541,ET30,-1.3364587926361975,pi_star,-1.6497094721699097,alpha,-0.5624739952482177,SA,-0.5896346870860926,beta,0.9320125105107439,N_mol_cm3,-0.5401587859472267
amide,CN(C)P(=O)(N(C)C)N(C)C,fn,0.40040595123533634,SP,0.23726945718073184,SB,1.321202929701439,SA,-0.5896346870860926,ET30,-0.11669429962331464,alpha,-0.5624739952482177,pi_star,1.0549560572623182,N_mol_cm3,-0.8517958733186998,beta,2.0998905949345263,delta,-0.5025151254111557,n,0.3975807996069484,SdP,1.720511764922595
carboxylic_acid,CC(C)C(=O)O,SP,-0.7520762227456278,n,,pi_star,,ET30,,alpha,,N_mol_cm3,0.19177832057656177,SdP,-0.630611536293397,delta,,fn,,beta,,SB,-0.46975825370608226,SA,1.7556382707832046
amine,CN1CCCC1,n,,delta,,fn,,N_mol_cm3,-0.04399973894790792,pi_star,,alpha,,ET30,,SdP,-0.8839907391813359,SA,-0.5896346870860926,SP,-0.13519009290919226,beta,,SB,1.6746821106371343
aromatic,CC1=CC(=C(C(=C1)C)C)C,ET30,,SdP,-0.9222922465946288,fn,,alpha,,pi_star,,SA,-0.5896346870860926,beta,,SB,-0.7895727507431398,N_mol_cm3,-0.6570226937115291,delta,,SP,0.7028438947931369,n,
amine,C1=CC=C(C=C1)N,SdP,1.296248913575348,ET30,0.35457834540439,beta,0.21067604660193728,SA,0.011483818620212749,pi_star,0.5362530790150416,SP,2.3323544264365537,delta,0.6978731995702265,n,2.4723720019292097,N_mol_cm3,0.226632468506266,alpha,0.041421003091231465,fn,2.0962573506367947,SB,-0.5269882163337662
amine,C1COCCN1,SP,,delta,,N_mol_cm3,0.33529540028710875,alpha,0.11110119520732167,SB,,beta,0.897663155086515,ET30,-0.10283333947544077,pi_star,-0.7234541538712015,SdP,,n,0.33441385433718385,fn,0.3461279048532193,SA,
nitrile,C(#N)C(Cl)(Cl)Cl,delta,,SA,,SdP,,SB,,ET30,-0.24144294095417748,alpha,,SP,,pi_star,,fn,0.16439096348424256,beta,,N_mol_cm3,0.025708556911500518,n,0.12385737010463763
amine,CCN(CC)CC,SdP,-1.2021878776917707,delta,-1.144101988763274,SP,-0.7404368618053176,SB,1.5635886537716301,fn,-0.4202457052584582,n,-0.5402053878595541,ET30,-1.3364587926361975,beta,0.9320125105107439,SA,-0.5896346870860926,N_mol_cm3,-0.5401587859472267,pi_star,-1.6497094721699097,alpha,-0.5624739952482177
ketone,CC(C)C(=O)C(C)C,alpha,,beta,,SB,,fn,-0.434557826941305,N_mol_cm3,-0.5647617138976062,SA,,ET30,-0.4216354228765348,delta,,pi_star,,SP,,n,-0.5564020404928252,SdP,
alkane,CCCCCCCCC,n,-0.4592221246931876,N_mol_cm3,-0.8681978252856193,ET30,-1.488929354262808,SdP,-1.5203850162022057,delta,-1.06131658704042,alpha,,SB,-1.2373130465950202,fn,-0.34787497674896883,SP,-0.7404368618053176,pi_star,,beta,,SA,-0.5896346870860926
ester,CCCCOC(=O)C,SP,-0.5774858086409759,SA,-0.5896346870860926,alpha,-0.5624739952482177,N_mol_cm3,-0.46429975810022345,SB,0.35166003342067575,SdP,0.05586932734485642,delta,-0.6266932279954369,ET30,-0.4493573431722826,pi_star,-0.4641026647475631,fn,-0.5055783552920347,beta,0.038929269480792845,n,-0.6357656383958645
amine,CN1CCCCC1,pi_star,,beta,,SP,-0.18174753667043278,SdP,-1.1786177192835905,N_mol_cm3,-0.3228329223855417,delta,,ET30,,alpha,,n,,SA,-0.5896346870860926,fn,,SB,1.3986317026683057
ester,COC(=O)C=C,SB,,n,-0.5661200320727878,SA,,beta,,ET30,-0.40777446272866197,SP,,fn,-0.44319910795736306,N_mol_cm3,0.24303442047318566,pi_star,,alpha,,SdP,,delta,
nitrile,CCCC#N,SA,-0.5896346870860926,SB,-0.1230120095501148,n,-0.815548482625192,beta,-0.13281750764035158,N_mol_cm3,0.3250441803077837,SdP,1.0251920918812738,alpha,-0.5624739952482177,SP,-0.4028953945363252,delta,-0.04719541593545917,ET30,0.10508106274266431,pi_star,0.46215265355114493,fn,-0.6676023743431295
aromatic,CC(C)(C)C1=CC=CC=C1,SA,-0.5896346870860926,pi_star,,fn,0.8678452461977443,SdP,-0.9841639124161023,beta,,n,0.949886654401555,alpha,,delta,,N_mol_cm3,-0.6898265976453685,ET30,,SB,-0.8400697765910962,SP,0.3885811494047635
alkane,C1CCC2CCCCC2C1,alpha,,ET30,,fn,,SA,-0.5896346870860926,SP,0.23726945718073184,SB,-1.2272136414254289,N_mol_cm3,-0.7287812335668026,beta,,pi_star,,SdP,-1.5203850162022057,delta,,n,
other,C1CCS(=O)(=O)C1,N_mol_cm3,0.1405222206799379,n,0.8203134333353715,ET30,0.3129954649607694,SP,1.2382544980474015,fn,0.7592891534335117,beta,-0.1671668630645805,alpha,-0.5624739952482177,delta,,SB,-0.18697490895752636,SdP,1.1194727255139953,pi_star,1.4625083973137498,SA,-0.3528304272623966
aromatic,CCCCC1=CC=CC=C1,N_mol_cm3,-0.704178305616423,fn,0.8270692014032185,SA,-0.5896346870860926,n,0.9012966965017379,SP,0.4816960369272445,beta,,SB,-0.9141320811680991,pi_star,,ET30,,SdP,-1.0018415312222377,alpha,,delta,
ester,COC(=O)OC,pi_star,,SB,0.04194494155320951,N_mol_cm3,0.41730516012170676,SP,-0.8219123883874885,alpha,-0.5624739952482177,ET30,-0.49094022361590317,SdP,0.044084248140766225,beta,-0.029769441367665003,n,-1.058498272124284,delta,-0.254158920242594,SA,-0.29818329038000513,fn,-0.8882250802843696
carboxylic_acid,CC(C)C(=O)O,SP,-0.7520762227456278,n,,pi_star,,ET30,,alpha,,N_mol_cm3,0.19177832057656177,SdP,-0.630611536293397,SA,1.7556382707832046,delta,,fn,,SB,-0.46975825370608226,beta,
polyhydric_alcohol,CC(CCO)O,delta,,pi_star,,n,0.10766071747136291,SP,0.1790726524791812,beta,,ET30,1.5327599579736522,SB,0.6378098465590955,alpha,,N_mol_cm3,0.2799388123987548,SdP,1.0517085200904768,SA,1.3640004564593995,fn,0.15034888183314712
ester,C1CC(=O)OC1,fn,0.09418055522876694,n,0.04287410693827121,ET30,0.35457834540439,delta,1.0497111568923556,SA,-0.3300607868947335,SdP,1.2638399457641,N_mol_cm3,0.6735856596048259,alpha,-0.5624739952482177,SP,0.5980896463303458,beta,0.17632669117770836,pi_star,1.0549560572623182,SB,-0.07251498370215832
ester,CC(=O)OCC(COC(=O)C)OC(=O)C,n,-0.05268614359803921,beta,,ET30,-0.185999100362683,SdP,0.5007560672992609,SA,-0.48489434139484244,fn,0.010738185417453664,N_mol_cm3,-0.927654901165703,SP,0.13251520871794067,delta,0.05628633621810825,alpha,,pi_star,,SB,-0.0152850210744745
carboxylic_acid,C(=O)O,pi_star,0.23985137715945515,N_mol_cm3,3.414761882076269,SB,,SP,,SdP,,n,-1.0034296531711586,delta,,SA,,beta,-0.20151621848880943,fn,-0.8379976343785303,alpha,2.294413881511484,ET30,
carboxylic_acid,C(=O)O,pi_star,0.23985137715945515,N_mol_cm3,3.414761882076269,SB,,SP,,SdP,,n,-1.0034296531711586,delta,,alpha,2.294413881511484,fn,-0.8379976343785303,SA,,ET30,,beta,-0.20151621848880943
monohydric_alcohol,C1CCC(C1)O,SA,0.5852787558853223,beta,,ET30,0.7288242693969795,pi_star,,SP,0.19071201341949132,SdP,0.4624545598859678,n,0.3036402143339651,SB,1.3986317026683057,alpha,,fn,0.319663981741541,N_mol_cm3,0.24303442047318566,delta,
ketone,CC(=O)C(Cl)(Cl)Cl,n,0.052592098518237484,alpha,,pi_star,,fn,0.10255179621307436,SB,,delta,,N_mol_cm3,-0.19571779464191438,SdP,,beta,,SA,,SP,,ET30,0.576353707770369
alkane,CCCCCCCCC,n,-0.4592221246931876,N_mol_cm3,-0.8681978252856193,ET30,-1.488929354262808,SdP,-1.5203850162022057,delta,-1.06131658704042,alpha,,SB,-1.2373130465950202,fn,-0.34787497674896883,SA,-0.5896346870860926,SP,-0.7404368618053176,pi_star,,beta,
misc_N_compound,C1=CC=C(C=C1)[N+](=O)[O-],n,1.8730958544981098,SdP,1.0517085200904768,N_mol_cm3,-0.019396810997528408,SA,-0.3346147149682661,alpha,-0.5624739952482177,SP,1.9482555154063192,delta,0.38742794310952433,pi_star,1.573659035509595,beta,-0.4763110618826406,fn,1.6231472150075972,ET30,-0.07511141917969304,SB,-0.6077834576904967
polyhydric_alcohol,O,pi_star,1.8700607373651819,SA,4.246636927005546,N_mol_cm3,9.342017274121853,n,-1.6253811142888381,fn,-1.4118327018511578,ET30,2.960438853204641,alpha,2.155053497279303,SdP,1.4170459754172726,delta,5.623604602080036,SB,-1.3315741615112056,SP,-0.49601028205880493,beta,0.1076279803292505
monohydric_alcohol,C(C(F)(F)F)O,N_mol_cm3,0.8294042032905624,pi_star,0.5362530790150416,beta,-1.5067917246095073,fn,-1.9170776012588215,alpha,2.94476234126166,SA,3.4770230825785333,n,-2.159870651186843,ET30,2.503027168324809,SB,-1.0555237535423772,SP,-2.1022420918216014,delta,0.656480498708799,SdP,1.1960757403405817
ketone,CCC(=O)C,SA,-0.5896346870860926,pi_star,0.31395180262335187,ET30,-0.06125045903182015,alpha,-0.4231136110160371,SdP,1.0487622502894542,delta,-0.35764067239616143,beta,0.14197733575347943,fn,-0.7291715015825456,SB,0.33482769147135694,N_mol_cm3,0.2696875924194301,SP,-0.6356826133425265,n,-0.8835744236849379
polyhydric_alcohol,CCC(CO)O,delta,,ET30,1.5050380376779053,beta,,SP,0.00448223837452927,pi_star,,N_mol_cm3,0.2799388123987548,SA,1.5324957951801066,alpha,,SdP,0.8867174112332141,fn,0.11929427818168774,n,0.07202808167816284,SB,0.8330650131711939
ester,CCOC=O,alpha,-0.5624739952482177,delta,-0.33694432196544766,n,-1.204268145823742,beta,-0.27021492933726726,SP,-0.8801091930890391,N_mol_cm3,0.5280183358984144,SB,0.190069550707215,SA,-0.5896346870860926,pi_star,0.0916505262316617,ET30,-0.11669429962331464,fn,-1.021624855969771,SdP,0.5626277331207341
halohydrocarbon,C1(=C(C(=C(C(=C1F)F)F)F)F)F,n,-0.9127283984248294,ET30,-1.04537862953085,SP,-1.1710932165967924,N_mol_cm3,-0.24287340654680853,beta,-1.4380930137610495,fn,-0.7556354246942238,pi_star,-0.9457554302628914,SA,-0.5896346870860926,SdP,-0.7779250263445242,delta,-0.7715676810104312,alpha,-0.5624739952482177,SB,-1.015126132864012
misc_N_compound,CN(C)C(=N)N(C)C,SB,1.9507325186059625,SdP,0.6893173345647037,SA,-0.5896346870860926,fn,0.5537886892703732,N_mol_cm3,-0.3802397542697602,delta,-0.39903337325758825,beta,1.4472528418741775,pi_star,0.6474037172108867,n,0.5773636438362795,alpha,-0.5624739952482177,SP,0.6562864510318964,ET30,-0.33846966198929357
ketone,C1CCC(=O)C1,ET30,-0.3246087018414197,fn,0.10255179621307436,SdP,,pi_star,0.6474037172108867,SB,,n,0.052592098518237484,delta,,SA,,alpha,-0.5624739952482177,beta,0.27937475745039514,SP,,N_mol_cm3,0.2963407643656744
misc_N_compound,CN1C=CN=C1,SP,1.284811941808642,SdP,1.3050877229784157,SB,0.7994003292725561,beta,,alpha,,fn,,N_mol_cm3,0.5669729718198484,SA,-0.275413650012342,pi_star,,n,,delta,,ET30,
alkane,CCCCC,SA,-0.5896346870860926,SP,-1.5202740448060963,SdP,-1.5203850162022057,N_mol_cm3,-0.22852169857575372,delta,-1.2889764417782683,fn,-1.0364770577161218,ET30,-1.488929354262808,pi_star,-2.4648141522727727,SB,-1.169983678797745,beta,-1.5067917246095073,alpha,-0.5624739952482177,n,-1.2204647984570132
halohydrocarbon,C(CCl)Cl,SB,-0.9915608541349655,beta,-1.1632981703672185,pi_star,0.8326547808706285,SdP,0.6657471761565233,alpha,-0.5624739952482177,n,0.18864398063772933,SP,0.5515322025691053,fn,0.22055929008862124,SA,-0.45301684488011407,ET30,-0.06125045903182015,N_mol_cm3,0.5710734598115784,delta,-0.088588116796886
aromatic,CC1=CC=CC=C1C,N_mol_cm3,-0.3187324343938116,fn,0.9893632604860654,SP,0.7843194213753079,delta,-0.4818187749804427,pi_star,,n,1.0956565281010096,SB,-0.887200334049189,alpha,,SA,-0.5896346870860926,SdP,-0.7366772491302085,ET30,,beta,
ester,CCOC(=O)C(Cl)(Cl)Cl,delta,,N_mol_cm3,-0.5401587859472267,alpha,-0.5624739952482177,pi_star,0.0916505262316617,SP,,ET30,-0.4216354228765348,SA,,SB,,fn,0.33235586323387595,SdP,,n,0.3182172017039127,beta,-0.6480578390037851
aromatic,CCC1=CC=CC=C1,delta,-0.5646041767032963,pi_star,,beta,,SP,0.5631715635094154,alpha,,SB,-0.9511632334566004,n,0.9984766123013755,N_mol_cm3,-0.33923487435246136,SdP,-0.8221190733598623,ET30,,SA,-0.5896346870860926,fn,0.9083512509605179
amine,CCNCC,ET30,-0.8790471077563666,SP,,SB,,fn,,pi_star,,SdP,,beta,,n,,delta,,alpha,,N_mol_cm3,-0.027597786980988245,SA,
amide,CC(=O)N(C)C,beta,1.1037592876318885,SdP,1.3875832774070471,SP,0.45841731504662425,delta,0.38742794310952433,ET30,0.1605249033341588,SA,-0.46212470102717934,SB,0.772468582153646,alpha,-0.5624739952482177,N_mol_cm3,0.19382856457242664,n,0.07526741220481706,pi_star,1.0920062699942668,fn,0.12226471853095777
ketone,CC(C)C(=O)C(C)C,alpha,,beta,,SB,,fn,-0.434557826941305,N_mol_cm3,-0.5647617138976062,SA,,ET30,-0.4216354228765348,SdP,,SP,,delta,,pi_star,,n,-0.5564020404928252
aromatic,CCCC1=CC=CC=C1,SA,-0.5896346870860926,delta,,n,0.9336900017682839,ET30,,SP,0.5049747588078648,alpha,,fn,0.854343244610153,pi_star,,SB,-0.9309644231174179,N_mol_cm3,-0.5504100059265515,SdP,-0.9046146277884938,beta,
monohydric_alcohol,CCCCCCCCO,SP,-0.12355073196888214,SdP,-0.18277852653796986,alpha,1.2259842690647664,fn,-0.004924136424152827,SA,0.7719898069001595,SB,1.691514452586453,beta,1.2755060647530332,ET30,0.8812948310235902,delta,0.035589985787394474,n,-0.07050246149463746,pi_star,-0.6864039411392531,N_mol_cm3,-0.7123792815998828
polyhydric_alcohol,C(CCO)CO,delta,,n,0.20484063327100047,ET30,1.6297866790087683,fn,0.23460137173971668,SA,1.3412308160917366,pi_star,,N_mol_cm3,0.3024914963532694,alpha,,beta,,SdP,1.0251920918812738,SB,0.5974122258807303,SP,0.45841731504662425
monohydric_alcohol,C1CCCC(CC1)O,N_mol_cm3,-0.29412950644343205,SA,0.2437341503703761,ET30,,beta,,alpha,,SB,1.651116831908088,SP,0.5398928416287951,SdP,0.08827829515610446,delta,,fn,,pi_star,,n,
ketone,C1CCC(=O)C1,ET30,-0.3246087018414197,fn,0.10255179621307436,SdP,,pi_star,0.6474037172108867,SB,,n,0.052592098518237484,delta,,beta,0.27937475745039514,SP,,N_mol_cm3,0.2963407643656744,SA,,alpha,-0.5624739952482177
ketone,CCCCCC(=O)C,N_mol_cm3,-0.5463095179348216,SA,,alpha,-0.4463403417214005,SB,,delta,,n,-0.5288677310162606,ET30,-0.08897237932756691,SP,,beta,0.14197733575347943,pi_star,0.0916505262316617,fn,-0.40998418405188913,SdP,
amide,C(=O)N,alpha,1.0866238848325858,SdP,1.4435624036264754,n,0.2242766164309294,ET30,1.9485887624098623,fn,0.25134385370833007,SP,1.0520247230024395,beta,0.14197733575347943,N_mol_cm3,3.1256774786593113,SA,1.9104718252833137,SB,-0.02201795785420203,delta,3.8437184650386755,pi_star,1.4254581845818015
carboxylic_acid,CC(=O)O,beta,0.038929269480792845,SP,-0.8451911102681088,n,-1.0423016194910129,delta,-0.3783370228268752,alpha,2.0389198437524865,SA,2.5480217555778797,SdP,0.4712933692890354,N_mol_cm3,1.5674920418019456,ET30,1.3802893963470426,fn,-0.8733728785380194,pi_star,0.20280116442750679,SB,-0.10281319921093221
ketone,CC(=O)C1=CC=CC=C1,SP,1.4477629949729838,beta,0.17632669117770836,SA,-0.3892618518506575,alpha,-0.469567072426764,pi_star,1.1661066954581634,delta,0.014893635356681431,N_mol_cm3,-0.2613256025095931,n,1.5977527597324719,fn,1.4011743089075972,SB,-0.18697490895752636,SdP,0.8602009830240115,ET30,-0.15827718006693525
ether,C1COCCO1,SB,0.06551022028225587,alpha,-0.5624739952482177,delta,-0.04719541593545917,SP,0.15579393059856092,N_mol_cm3,0.3783505242002728,SdP,-0.6011488382831714,beta,-0.23586557391303836,n,-0.18387902992754973,ET30,-0.7958813468691244,SA,-0.5896346870860926,fn,-0.10429886810882318,pi_star,-0.13065075016002806
halohydrocarbon,C1=CC=C(C=C1)Br,alpha,-0.5624739952482177,SP,1.7620257403613573,delta,-0.1506771680890266,pi_star,0.7585543554067318,SdP,-0.05608892509400042,n,2.018865728197568,SA,-0.5896346870860926,fn,1.7395344686926344,beta,-1.300695592064134,N_mol_cm3,-0.0604016909148276,SB,-0.7693739404039572,ET30,-0.7127155859818821
alkane,CCCCC,SA,-0.5896346870860926,SP,-1.5202740448060963,SdP,-1.5203850162022057,N_mol_cm3,-0.22852169857575372,delta,-1.2889764417782683,fn,-1.0364770577161218,ET30,-1.488929354262808,SB,-1.169983678797745,beta,-1.5067917246095073,alpha,-0.5624739952482177,pi_star,-2.4648141522727727,n,-1.2204647984570132
nitrile,C1=CC=C(C=C1)CC#N,SA,,N_mol_cm3,-0.23262218656748346,n,,fn,,SB,,ET30,0.13280298303841204,delta,,SP,,SdP,,alpha,-0.5624739952482177,beta,-0.09846815221612285,pi_star,1.5366088227776467
amine,C(CN)N,fn,0.380963068949205,alpha,-0.2605264960784931,pi_star,-0.427052452015615,ET30,0.03577626200329595,n,0.37490548592036527,N_mol_cm3,1.0528807988398425,SA,,beta,3.405166101055224,SdP,,delta,,SB,,SP,
aromatic,CC1=CC(=CC(=C1)C)C,N_mol_cm3,-0.5340080539596319,SdP,-1.063713197043711,fn,0.9623592573108829,delta,-0.5646041767032963,pi_star,-0.649353728407305,SP,0.5980896463303458,SB,-0.7761068771836848,n,1.0632632228344672,ET30,-1.2255711114532084,beta,-1.0602501040945318,alpha,-0.5624739952482177,SA,-0.5896346870860926
polyhydric_alcohol,C[C@@H](CO)O,fn,0.04314298922767203,beta,,SB,0.5974122258807303,SA,1.5734811478418997,SdP,1.0959025671058151,N_mol_cm3,0.7842988353815336,alpha,,n,-0.01543384254151203,delta,,ET30,1.7129524398960105,SP,0.08595776495670017,pi_star,
carboxylic_acid,CCCCC(=O)O,alpha,2.20150695869003,ET30,1.879283961670494,N_mol_cm3,-0.13216023077010092,SdP,-0.707214551119983,fn,-0.2976475308431295,SA,1.6964372058272805,SP,-0.4261741164169442,n,-0.4025338404767315,pi_star,-0.16770096289197642,SB,0.17660367714775993,delta,0.8220513021545071,beta,0.038929269480792845
